Epoch,mAP@50:95,mAP@50,mAP@75,mAR@50:95,mAR@50,mAR@75
1,0.615,0.957,0.813,0.676,1.0,0.851
2,0.649,0.976,0.816,0.685,0.989,0.84
3,0.716,0.976,0.878,0.765,1.0,0.904
4,0.743,0.984,0.904,0.79,1.0,0.926
5,0.784,0.996,0.936,0.818,1.0,0.947
6,0.72,0.993,0.932,0.782,1.0,0.947
7,0.797,0.978,0.946,0.831,0.989,0.957
8,0.765,0.997,0.946,0.803,1.0,0.957
9,0.823,0.992,0.948,0.86,1.0,0.957
10,0.816,0.998,0.946,0.851,1.0,0.957
11,0.808,0.997,0.934,0.843,1.0,0.947
12,0.822,0.998,0.949,0.854,1.0,0.957
13,0.859,0.997,0.948,0.88,1.0,0.957
14,0.828,0.998,0.958,0.866,1.0,0.968
15,0.857,0.994,0.956,0.883,1.0,0.968
16,0.805,0.997,0.959,0.841,1.0,0.968
17,0.833,0.968,0.937,0.867,0.979,0.947
18,0.841,0.993,0.948,0.874,1.0,0.957
19,0.823,0.996,0.96,0.854,1.0,0.968
20,0.831,0.998,0.949,0.859,1.0,0.957
21,0.852,0.996,0.969,0.885,1.0,0.979
22,0.831,0.999,0.968,0.86,1.0,0.979
23,0.849,0.999,0.97,0.879,1.0,0.979
24,0.863,0.998,0.968,0.888,1.0,0.979
25,0.874,1.0,0.97,0.898,1.0,0.979
26,0.886,0.999,0.969,0.913,1.0,0.979
27,0.839,0.977,0.95,0.867,0.989,0.957
28,0.862,0.996,0.959,0.89,1.0,0.968
29,0.899,0.999,0.979,0.92,1.0,0.989
30,0.883,0.999,0.97,0.913,1.0,0.979
31,0.883,1.0,0.97,0.911,1.0,0.979
32,0.868,0.979,0.969,0.897,0.989,0.979
33,0.867,0.979,0.969,0.899,0.989,0.979
34,0.873,0.999,0.959,0.9,1.0,0.968
35,0.86,0.998,0.96,0.893,1.0,0.968
36,0.873,0.979,0.96,0.904,0.989,0.968
37,0.881,0.998,0.97,0.905,1.0,0.979
38,0.881,0.999,0.958,0.907,1.0,0.968
39,0.877,0.998,0.97,0.906,1.0,0.979
40,0.881,0.998,0.97,0.911,1.0,0.979
41,0.86,1.0,0.97,0.888,1.0,0.979
42,0.874,0.999,0.97,0.902,1.0,0.979
43,0.856,0.999,0.979,0.885,1.0,0.989
44,0.891,0.98,0.96,0.913,0.989,0.968
45,0.878,1.0,0.96,0.899,1.0,0.968
46,0.885,1.0,0.97,0.914,1.0,0.979
47,0.796,0.999,0.97,0.827,1.0,0.979
48,0.902,1.0,0.97,0.918,1.0,0.979
49,0.865,1.0,0.97,0.893,1.0,0.979
50,0.895,0.998,0.97,0.914,1.0,0.979
51,0.867,0.999,0.97,0.9,1.0,0.979
52,0.899,1.0,0.98,0.926,1.0,0.989
53,0.905,0.999,0.979,0.929,1.0,0.989
54,0.897,1.0,0.97,0.924,1.0,0.979
55,0.92,1.0,0.97,0.936,1.0,0.979
56,0.916,1.0,0.98,0.933,1.0,0.989
57,0.883,1.0,0.97,0.905,1.0,0.979
58,0.892,0.999,0.97,0.917,1.0,0.979
59,0.9,1.0,0.97,0.922,1.0,0.979
60,0.872,0.999,0.979,0.898,1.0,0.989
61,0.918,1.0,0.98,0.936,1.0,0.989
62,0.864,1.0,0.98,0.89,1.0,0.989
63,0.891,0.98,0.97,0.918,0.989,0.979
64,0.89,1.0,0.97,0.916,1.0,0.979
65,0.909,1.0,0.97,0.93,1.0,0.979
66,0.893,1.0,0.97,0.922,1.0,0.979
67,0.908,1.0,0.98,0.933,1.0,0.989
68,0.878,0.999,0.969,0.9,1.0,0.979
69,0.898,0.999,0.97,0.918,1.0,0.979
70,0.903,1.0,0.97,0.928,1.0,0.979
71,0.909,1.0,0.98,0.927,1.0,0.989
72,0.915,0.998,0.97,0.937,1.0,0.979
73,0.902,0.999,0.98,0.921,1.0,0.989
74,0.89,0.98,0.97,0.917,0.989,0.979
75,0.905,0.999,0.97,0.928,1.0,0.979
76,0.894,0.98,0.98,0.917,0.989,0.989
77,0.891,0.999,0.98,0.914,1.0,0.989
78,0.911,1.0,0.97,0.933,1.0,0.979
79,0.895,1.0,0.98,0.922,1.0,0.989
80,0.912,0.978,0.968,0.939,0.989,0.979
81,0.901,0.98,0.97,0.927,0.989,0.979
82,0.901,0.999,0.97,0.92,1.0,0.979
83,0.91,1.0,0.97,0.935,1.0,0.979
84,0.927,1.0,0.979,0.949,1.0,0.989
85,0.909,1.0,0.97,0.931,1.0,0.979
86,0.911,1.0,0.97,0.938,1.0,0.979
87,0.887,1.0,0.97,0.905,1.0,0.979
88,0.928,1.0,0.97,0.947,1.0,0.979
89,0.931,1.0,1.0,0.944,1.0,1.0
90,0.893,1.0,0.98,0.921,1.0,0.989
91,0.922,1.0,0.97,0.945,1.0,0.979
92,0.897,0.98,0.97,0.919,0.989,0.979
93,0.869,0.98,0.97,0.903,0.989,0.979
94,0.918,1.0,0.97,0.938,1.0,0.979
95,0.924,1.0,0.98,0.945,1.0,0.989
96,0.884,0.96,0.95,0.906,0.968,0.957
97,0.919,1.0,0.97,0.939,1.0,0.979
98,0.894,1.0,0.97,0.922,1.0,0.979
99,0.922,0.999,0.97,0.944,1.0,0.979
100,0.906,1.0,0.97,0.929,1.0,0.979
101,0.887,1.0,0.98,0.918,1.0,0.989
102,0.897,0.998,0.96,0.918,1.0,0.968
103,0.922,1.0,0.97,0.94,1.0,0.979
104,0.893,0.999,0.97,0.919,1.0,0.979
105,0.898,1.0,0.97,0.924,1.0,0.979
106,0.893,1.0,0.98,0.918,1.0,0.989
107,0.908,1.0,0.97,0.933,1.0,0.979
108,0.9,0.98,0.97,0.926,0.989,0.979
109,0.913,1.0,0.97,0.936,1.0,0.979
110,0.911,0.98,0.96,0.931,0.989,0.968
111,0.92,1.0,0.97,0.943,1.0,0.979
112,0.911,1.0,0.98,0.934,1.0,0.989
113,0.905,0.98,0.97,0.932,0.989,0.979
114,0.925,0.999,0.98,0.943,1.0,0.989
115,0.928,1.0,0.97,0.95,1.0,0.979
116,0.916,1.0,0.979,0.939,1.0,0.989
117,0.913,1.0,0.97,0.936,1.0,0.979
118,0.923,1.0,0.979,0.938,1.0,0.989
119,0.916,1.0,0.97,0.939,1.0,0.979
120,0.914,1.0,0.97,0.935,1.0,0.979
121,0.904,1.0,0.98,0.93,1.0,0.989
122,0.912,1.0,0.98,0.934,1.0,0.989
123,0.936,1.0,0.97,0.952,1.0,0.979
124,0.925,1.0,0.98,0.948,1.0,0.989
125,0.912,1.0,0.98,0.938,1.0,0.989
126,0.923,1.0,0.98,0.944,1.0,0.989
127,0.923,1.0,0.98,0.941,1.0,0.989
128,0.934,1.0,0.98,0.95,1.0,0.989
129,0.944,1.0,1.0,0.959,1.0,1.0
130,0.919,1.0,0.97,0.941,1.0,0.979
131,0.916,1.0,0.957,0.935,1.0,0.968
132,0.92,1.0,0.98,0.943,1.0,0.989
133,0.924,1.0,0.98,0.946,1.0,0.989
134,0.92,1.0,0.98,0.941,1.0,0.989
135,0.902,1.0,0.97,0.923,1.0,0.979
136,0.925,1.0,0.98,0.945,1.0,0.989
137,0.933,1.0,0.97,0.951,1.0,0.979
138,0.907,0.998,0.978,0.929,1.0,0.989
139,0.932,1.0,0.98,0.951,1.0,0.989
140,0.931,1.0,0.97,0.949,1.0,0.979
141,0.931,1.0,0.97,0.949,1.0,0.979
142,0.901,1.0,0.97,0.924,1.0,0.979
143,0.892,1.0,0.97,0.921,1.0,0.979
144,0.925,1.0,0.97,0.947,1.0,0.979
145,0.928,1.0,0.97,0.947,1.0,0.979
146,0.922,0.98,0.97,0.945,0.989,0.979
147,0.913,0.999,0.969,0.934,1.0,0.979
148,0.943,1.0,0.97,0.96,1.0,0.979
149,0.941,1.0,0.97,0.955,1.0,0.979
150,0.925,1.0,0.97,0.943,1.0,0.979
10,,,,,,
20,,,,,,
30,,,,,,
40,,,,,,
50,,,,,,
