Top_left_x,Top_left_y,Top_right_x,Top_right_y,Bottom_left_x,Bottom_left_y,Bottom_right_x,Bottom_right_y,FR1_x,FR1_y,FR2_x,FR2_y,FG1_x,FG1_y,FG2_x,FG2_y,FB1_x,FB1_y,FB2_x,FB2_y,tf_FR1_x,tf_FR1_y,tf_FR2_x,tf_FR2_y,tf_FG1_x,tf_FG1_y,tf_FG2_x,tf_FG2_y,tf_FB1_x,tf_FB1_y,tf_FB2_x,tf_FB2_y,Bending_Coefficient,Bending_Binary,IFF,Spikes,Spikes_Filled
567.5041,258.65735,681.6994,240.57278,583.7186,363.5719,702.98016,331.79916,538.91205,221.94576,548.85486,250.7317,561.9577,271.54944,582.24615,290.25662,607.79865,295.51068,633.291,293.8849,-34.916073,282.472,-26.167522,221.44597,-11.262473,176.44112,14.765102,133.2867,52.74938,113.47626,94.20396,106.46027,0.015313212828408817,0,3.1269543,1,1
566.9491,257.76477,681.18774,241.40265,583.2913,364.41684,702.3321,332.21506,543.1185,230.76443,549.61395,262.8653,559.36127,285.0254,580.40875,302.20297,606.7682,302.84152,631.3013,296.01294,-29.26162,259.70193,-26.391447,194.96222,-16.9985,150.03914,9.677604,110.86248,49.168316,99.77747,90.175476,103.32516,0.021176144323292814,1,3.1269543,0,1
566.20654,258.3666,680.1072,241.89359,582.42566,364.93567,701.3363,332.6594,545.2861,236.189,550.60077,268.96826,559.2081,292.6012,581.01825,309.46774,605.91235,306.81522,630.8465,296.18524,-26.15536,249.57817,-25.108263,183.94388,-17.608198,136.77219,10.223739,97.88825,48.289196,93.19955,91.08161,103.727196,0.024108718403617915,1,3.1269543,0,1
565.64154,259.23895,679.328,242.30597,581.6412,365.43124,700.70013,333.32123,545.47284,239.42715,551.024,272.0931,559.7764,296.27948,581.87006,312.67203,606.36926,308.7593,630.6201,297.31335,-25.831415,245.11107,-24.332775,179.35829,-16.62349,130.91226,11.960314,92.56641,49.961987,90.196465,92.0222,102.43906,0.02477171419521991,1,3.1269543,0,1
564.54724,260.43552,678.4226,243.93242,580.8488,366.7006,699.644,334.6181,544.0639,240.00197,550.00244,272.1593,558.84375,295.92175,581.46985,312.8418,605.58514,309.4408,629.37256,299.36612,-25.87771,246.05933,-23.878258,181.46213,-16.113232,133.89337,12.948525,94.48823,50.189285,91.43307,91.07719,101.32219,0.024060675811085886,1,3.1269543,0,1
563.4369,262.82144,676.89435,246.02455,579.71027,368.63446,698.3832,337.1087,542.1804,239.97151,548.1638,271.88315,557.3263,295.7452,579.53534,313.01562,603.26465,310.96036,627.82623,301.53378,-26.854609,251.56076,-24.700712,186.79324,-16.375956,138.51144,12.355522,98.4071,48.96196,93.08103,91.065025,101.48218,0.023524063098443845,1,3.1269543,0,1
562.0442,264.77463,675.4081,248.5942,578.36224,370.8623,696.85223,339.56363,539.30005,238.41061,546.5324,269.86508,556.81165,292.07437,578.4529,309.9286,603.37146,309.76932,627.82294,303.1735,-28.24472,258.68222,-24.1519,194.40923,-13.859778,148.8331,13.987889,107.93827,52.106644,98.92903,93.43906,102.202675,0.020763177847139463,1,3.1269543,0,1
561.2535,267.98413,673.65063,250.70828,576.10223,373.71152,695.5657,341.71375,536.07227,232.90712,546.3594,262.05453,560.56415,282.33755,579.08655,301.57632,603.5559,305.7438,627.0385,303.53656,-31.539011,279.65594,-21.469166,216.48244,-4.1003313,171.63513,19.830303,127.8433,56.930405,110.54613,95.747604,105.534164,0.016264088512094342,1,3.1269543,0,1
557.4401,272.68317,669.9084,256.1951,572.70044,379.18787,690.6403,347.2546,512.8111,200.75314,531.8559,221.1074,549.415,237.1555,570.3945,256.87247,592.9145,272.6863,608.96936,283.04407,-53.196686,358.3538,-28.235722,311.78995,-4.5707045,274.43045,23.79599,228.31905,55.96155,189.31181,79.5225,162.93538,0.0027195314462392537,0,3.1269543,1,1
559.3593,286.3578,669.6697,269.34506,573.3059,391.63068,690.92804,360.06003,536.89514,251.24146,546.916,280.42084,559.93744,301.30997,579.8428,319.30292,604.8569,324.77472,628.84924,322.37094,-28.429323,279.7982,-18.22539,215.91724,-2.1727192,169.80904,24.95649,127.56102,63.614746,107.309586,104.378296,102.33399,0.01616866441256482,1,129.0322571,1,1
557.0755,286.99207,668.70166,269.39316,572.28357,391.54044,690.2606,359.7155,541.09515,260.6126,547.5907,291.84137,556.3867,313.759,578.0791,331.49585,603.9723,331.83817,628.31866,324.29382,-19.018988,259.2127,-15.591494,193.28673,-6.92463,147.3001,22.012981,105.2329,62.54692,94.12621,104.963356,98.74437,0.021709467971918937,1,156.25,3,1
555.5432,287.41617,667.85205,269.4877,571.3414,391.60956,688.8697,359.9639,542.0816,264.34143,547.58887,296.57715,555.5859,318.85995,577.24286,336.37827,602.99207,334.15756,627.9377,323.89474,-15.467896,251.05345,-14.194519,184.37096,-7.0985985,138.40053,21.54344,96.858444,62.404217,90.517784,106.63117,100.13151,0.02361515630351577,1,64.102562,2,1
555.0202,287.56802,666.8791,269.4487,570.4108,391.63632,687.65533,359.96655,541.6851,263.88196,547.9846,296.3743,556.08655,318.39093,577.439,336.10983,602.5363,333.89624,627.2328,323.63025,-15.375077,252.49039,-12.760944,184.76144,-5.2855062,139.07112,23.151186,97.0675,63.231625,90.89912,107.20636,100.5731,0.023980273953718708,1,41.6666679,1,1
