Top_left_x,Top_left_y,Top_right_x,Top_right_y,Bottom_left_x,Bottom_left_y,Bottom_right_x,Bottom_right_y,FR1_x,FR1_y,FR2_x,FR2_y,FG1_x,FG1_y,FG2_x,FG2_y,FB1_x,FB1_y,FB2_x,FB2_y,tf_FR1_x,tf_FR1_y,tf_FR2_x,tf_FR2_y,tf_FG1_x,tf_FG1_y,tf_FG2_x,tf_FG2_y,tf_FB1_x,tf_FB1_y,tf_FB2_x,tf_FB2_y,Bending_Coefficient,Bending_Binary,IFF,Spikes,Spikes_Filled
697.7511,264.0699,774.11884,222.70374,731.5423,339.88144,807.9675,290.16837,655.62244,268.13544,670.17,283.59375,688.7972,297.28027,700.81464,301.1675,733.43176,294.75812,751.5539,286.3452,-82.29574,240.35811,-67.69325,190.17345,-44.33024,139.19406,-25.245762,116.548836,42.322662,89.45665,86.0195,84.16754,0.010588694721989471,0.0,298.5074768,4,4
698.9551,263.96118,775.03107,223.24573,732.17816,340.5386,808.4981,290.29102,660.99634,271.8625,675.3497,288.1433,693.1861,302.72925,706.1577,308.22702,736.4841,297.65936,752.5724,285.63477,-77.17872,226.73671,-63.231632,175.26506,-41.8261,123.695366,-22.307354,96.704254,43.947556,80.838486,86.847496,85.73315,0.01377123041732864,0.0,169.4915314,4,4
699.14575,265.31772,775.4968,224.48882,732.76514,341.84778,808.7106,291.43137,662.44446,273.1165,677.6298,289.6928,695.4735,303.40506,709.6492,308.21698,737.764,298.94003,753.2969,287.44125,-73.90967,225.22812,-59.15782,172.63911,-37.50942,123.094864,-15.437442,96.0265,45.512505,80.0495,86.81703,84.414986,0.013212883952930396,0.0,90.0900879,3,3
699.0487,266.5229,775.04736,226.02672,732.3431,342.76978,808.77734,292.9426,655.0091,268.45255,668.71344,276.62885,737.66516,289.8807,711.83527,279.20227,739.321,289.80048,753.9877,288.3428,-84.26868,246.77374,-65.31826,213.1728,55.23467,101.22025,13.993484,156.4798,58.592476,99.294464,89.404915,83.64142,0.0005614468515765283,0.0,71.9424438,2,2
699.418,266.89777,775.99304,227.1043,733.8436,343.9546,810.0293,293.50638,638.44995,263.8186,656.0736,269.65204,678.27216,275.7662,692.73724,278.91364,721.63586,283.9123,739.64624,285.1896,-107.168236,273.3942,-80.865074,242.108,-46.11753,204.57242,-22.332174,181.40797,27.629656,136.61658,61.478786,111.74363,0.0014477828905310867,0.0,56.1797752,1,1
700.6555,267.35632,777.2699,226.57642,734.5996,344.24927,810.51404,293.94318,620.4312,262.4081,637.8675,267.3329,658.66486,272.6886,671.99585,275.41302,702.64014,279.32858,720.72894,281.59946,-139.69662,298.39194,-113.447136,269.7167,-81.094154,235.90016,-59.406605,215.31122,-6.2182097,171.68498,26.311047,145.11946,0.0012201611741063571,0.0,259.7402649,2,2
699.5348,281.2406,775.0827,239.9453,732.833,357.12372,808.73846,307.06317,659.2081,293.53613,673.8522,309.23956,692.9737,323.58752,706.4254,328.33142,736.7353,319.65472,753.7741,309.78256,-85.89895,220.95918,-70.97521,170.13217,-46.95187,117.15977,-25.824512,90.8636,39.185318,70.49011,81.98352,69.110886,0.011737984701598921,0.0,162.6016235,2,2
699.3171,281.67307,774.90405,240.41911,732.5478,357.59525,808.24634,307.33228,659.27167,294.3376,673.6257,311.0581,691.5973,326.37976,704.82806,330.95578,736.5784,321.60336,753.87976,309.90912,-85.107765,219.69713,-71.58498,167.25491,-50.579624,113.84187,-29.908798,88.21461,37.968388,67.23381,82.877945,69.22285,0.012959696960691386,0.0,56.9800568,1,1
699.88293,282.29938,774.46484,241.64151,733.93176,357.92126,808.5177,307.8035,608.68463,275.39362,627.68176,281.06418,650.02875,288.00195,664.706,291.1751,698.0024,296.4344,716.2968,298.3613,-161.69397,319.17676,-132.54921,286.1193,-97.86947,245.9733,-73.67491,222.21436,-15.800937,171.19078,17.799614,144.40709,0.0013325835316352651,0.0,6.9881201,1,1
712.1048,281.90598,787.0736,241.13443,746.324,357.6645,821.03326,307.49176,679.9408,289.96332,692.92377,308.30075,710.9526,324.83853,723.8519,329.688,752.4197,316.07446,767.4403,301.5288,-67.06796,220.2877,-57.820908,165.93541,-38.10791,109.92023,-18.334368,84.0848,48.005283,75.76889,92.01441,87.00221,0.017523445894088104,1.0,416.6666565,9,9
712.5309,282.68973,787.23804,241.60846,746.32825,357.9847,820.727,307.7007,676.6098,290.3331,691.26447,306.84692,709.5191,320.70932,722.6766,324.24225,753.10443,313.89093,767.5803,301.84857,-73.83418,226.071,-59.98653,173.28392,-37.536415,121.99059,-16.005339,98.23477,51.64612,80.6379,92.36985,87.2075,0.013590457454320531,0.0,157.4803162,4,4
712.24384,282.90027,787.2981,242.03456,746.0976,357.8123,821.0373,307.71518,668.98627,286.16794,682.78845,295.10068,750.6875,305.313,749.93365,304.38568,752.5374,305.17996,767.11395,302.4642,-83.5965,244.00923,-65.44084,208.33743,55.133904,102.01692,54.501167,105.00766,58.94189,99.889786,90.99287,86.53357,0.004377327093542875,0.0,103.6269455,3,3
