Top_left_x,Top_left_y,Top_right_x,Top_right_y,Bottom_left_x,Bottom_left_y,Bottom_right_x,Bottom_right_y,FR1_x,FR1_y,FR2_x,FR2_y,FG1_x,FG1_y,FG2_x,FG2_y,FB1_x,FB1_y,FB2_x,FB2_y,tf_FR1_x,tf_FR1_y,tf_FR2_x,tf_FR2_y,tf_FG1_x,tf_FG1_y,tf_FG2_x,tf_FG2_y,tf_FB1_x,tf_FB1_y,tf_FB2_x,tf_FB2_y,Bending_Coefficient,Bending_Binary,IFF,Spikes,Spikes_Filled
663.9409,254.54803,744.3895,215.15678,699.0128,335.0132,778.87585,284.83917,317.74945,327.71735,334.27225,326.52377,363.48135,330.51962,376.31375,328.00928,421.59232,326.11166,450.56323,327.94058,-502.2767,350.40686,-485.1544,341.2466,-455.51978,314.175,-441.01508,309.2381,-389.62448,278.84137,-356.04962,253.01128,0.00022696944461066904,0.0,0.0,0,0
665.4772,254.43196,745.709,214.49422,700.05975,334.03387,779.33344,284.66898,307.7849,329.51794,334.48206,328.14282,362.87817,331.04095,377.73135,328.87292,420.21396,326.31793,451.35004,329.51236,-530.5603,362.19943,-502.07596,345.93622,-472.06168,320.5557,-454.74646,313.26108,-404.45267,285.09995,-367.72467,254.41573,5.033021058247569e-05,0.0,0.0,0,0
666.54645,254.07863,747.56964,214.55916,701.94073,334.56808,782.5203,285.80408,301.1931,331.3518,325.54797,329.56055,359.71387,332.47192,373.87933,331.9898,419.46133,329.31476,447.02158,329.5711,-550.49506,360.7727,-523.5295,346.86188,-486.0199,317.26486,-469.5229,307.60056,-414.0531,277.326,-379.67902,254.82608,0.0002770215358547939,0.0,0.0,0,0
668.3046,253.0919,748.5436,214.35925,704.17194,333.27234,783.12366,284.51205,299.05887,333.46167,326.23947,330.25046,357.88306,332.85498,373.9704,330.5708,419.99646,328.93192,447.8542,328.42584,-529.6867,348.445,-502.04434,336.06213,-470.4053,310.5188,-452.68173,303.1346,-401.2699,272.6206,-368.64853,252.30916,4.695392445887722e-05,0.0,0.0,0,0
669.9153,254.17082,750.4845,215.48811,705.91144,333.7385,784.73676,285.15176,297.9363,337.96368,326.46048,334.44202,359.58057,335.75662,376.19702,333.98648,419.7348,329.90588,447.0079,326.7739,-525.0696,342.16852,-496.92905,329.63568,-464.4595,305.55646,-446.79654,297.0599,-398.51602,272.79245,-366.31357,257.7119,0.00035257292854520345,0.0,0.0,0,0
671.2841,257.24792,752.0621,217.59969,706.477,338.60425,786.8855,288.09268,299.66483,346.67914,328.60446,343.2132,357.50604,344.28003,376.93802,341.86716,420.63577,334.37607,445.88013,332.69135,-533.4515,341.12448,-503.90622,327.35886,-474.26904,305.53622,-452.94745,295.64258,-402.09418,275.8663,-371.9766,259.22946,0.00046932904489067895,0.0,0.0,0,0
671.5483,258.4096,752.11957,219.63152,707.49634,338.0912,786.2821,289.41562,295.8035,349.26538,323.225,345.73904,357.70413,346.32437,375.58817,342.77704,421.37854,335.22125,448.2265,331.40298,-530.0682,333.732,-503.32733,321.81842,-469.71115,298.0146,-450.3501,291.4852,-398.66388,271.29007,-366.73505,257.67023,0.0005817344796337604,0.0,0.0,0,0
672.24304,259.21036,752.6035,219.9329,708.53094,338.88162,787.07416,290.0259,295.29114,350.01538,323.69858,348.17038,360.34357,348.99664,375.00705,344.58627,419.3433,337.78323,448.35635,334.22852,-537.5807,339.21173,-509.91492,323.6802,-473.6485,297.52988,-456.97168,294.41827,-406.4722,273.51535,-371.81302,257.4795,0.0006779539586261233,0.0,0.0,0,0
673.7998,259.59048,753.96814,219.42345,709.10095,338.97507,788.0474,289.25595,313.19382,346.93018,332.96158,347.08392,363.07272,346.90256,382.13855,345.1979,423.5418,337.1199,446.3376,336.34,-530.273,344.07782,-510.3457,330.1389,-478.89597,308.9218,-457.8117,297.71616,-408.3682,279.81308,-381.20193,263.06293,0.0008321346998611966,0.0,0.0,0,0
674.82214,259.91785,754.6955,220.00644,709.37177,339.49716,788.6044,290.05908,304.38196,348.0387,330.59573,346.74548,361.8372,346.62045,382.72076,344.7331,426.83774,336.73422,451.31027,333.54614,-552.5274,351.7592,-524.80084,335.47275,-490.95886,312.9504,-467.04776,300.49048,-412.81955,279.99197,-381.62982,265.80142,0.0007912098909868687,0.0,0.0,0,0
675.5242,259.44394,755.37616,220.03833,710.69037,338.46384,789.6705,289.65094,314.35168,344.2799,340.15286,341.5786,366.82477,343.78668,386.82095,340.04443,428.31107,336.56357,455.76913,337.29156,-539.8907,347.0919,-512.1177,333.5818,-483.94345,310.5982,-460.46362,302.1425,-411.04395,276.24585,-377.95346,252.9002,4.37348880295804e-05,0.0,0.0,0,0
676.60986,259.58078,756.1254,220.46312,711.3426,338.8423,789.99445,289.7267,315.2094,343.96417,340.72516,342.1714,370.71738,343.86572,391.31247,340.31253,429.8791,335.99777,456.82028,336.1996,-530.8814,345.11743,-504.48254,330.6414,-473.3506,306.55994,-449.84848,297.50592,-404.573,275.68063,-372.56638,254.01265,0.00026927164553672414,0.0,0.0,0,0
677.53546,259.93246,757.1087,220.60316,712.60974,338.98837,790.9885,289.7536,318.36374,343.38055,343.63058,341.96497,371.85117,343.84073,393.49054,340.12637,432.77277,335.26532,460.32953,334.76566,-523.9952,345.17114,-498.28183,330.31628,-469.54074,307.3264,-445.13028,297.81604,-399.31104,276.44238,-366.61206,255.5552,0.0004173194541502063,0.0,0.0,0,0
680.74805,258.89087,759.7913,219.14009,715.47833,337.49487,793.48883,287.45578,319.91708,340.6972,345.59714,338.73572,375.73044,341.2907,391.75623,339.55566,436.21182,333.01917,462.47278,332.01315,-521.98035,353.86966,-495.96405,339.45767,-465.58743,313.68048,-448.042,304.8058,-396.47287,282.01578,-365.30896,262.73688,0.000642354147481773,0.0,0.0,0,0
